repo_name,cat1,policy_first_date,human_label,language,total_prs_db
duriantaco/skylos,permissive,2026-04-04 08:00:21,Y,Python,110
dvankley/firefly-plaid-connector-2,permissive,2025-11-18 01:24:46,Y,Kotlin,87
earendil-works/absurd,permissive,2025-10-31 22:11:41,Y,TypeScript,58
EFForg/rayhunter,permissive,2026-02-24 22:45:28,Y,Rust,486
eigent-ai/eigent,permissive,2026-02-13 09:45:44,Y,TypeScript,920
electrikmilk/cherri,permissive,2025-11-28,Y,Go,58
elgatosf/streamdeck,permissive,2026-02-02 12:34:08,Y,TypeScript,118
embrace-io/embrace-android-sdk,permissive,2025-12-17 11:03:45,Y,Kotlin,3263
emilyploszaj/emi,permissive,2025-12-27 23:14:37,Y,Java,149
emlearn/emlearn-micropython,permissive,2025-10-31 22:09:15,Y,Jupyter Notebook,37
enuno/unifi-mcp-server,permissive,2025-10-18 04:10:44,Y,Python,45
envoyproxy/ai-gateway,permissive,2025-12-18 01:25:32,Y,Go,1588
ephemeraHQ/converse-app,permissive,2025-03-21 18:26:26,Y,TypeScript,955
ethersync/ethersync,permissive,2026-02-25 11:04:54,Y,Rust,233
eventual-inc/daft,permissive,2026-02-19 15:01:14,Y,Rust,5009
extphprs/ext-php-rs,permissive,2025-07-01 15:02:09,Y,Rust,510
ExtremeFLOW/neko,permissive,2026-03-17 08:44:33,Y,Fortran,1996
eyaltoledano/claude-task-master,permissive,2025-05-27 22:59:14,Y,JavaScript,861
ezyang/codemcp,permissive,2025-03-17 01:36:01,Y,Python,249
facebook/pyrefly,permissive,2026-02-18 16:13:45,Y,Rust,1095
fallenbagel/jellyseerr,permissive,2025-09-23 12:14:50,Y,TypeScript,1270
farion1231/cc-switch,permissive,2026-04-02 08:26:26,Y,Rust,446
fastplotlib/fastplotlib,permissive,2026-03-01 03:12:07,Y,Python,484
fedify-dev/fedify,permissive,2026-01-24 04:12:08,Y,TypeScript,272
finops-open-cost-and-usage-spec/focus_spec,permissive,2026-02-12 23:22:15,Y,Python,864
flipcomputing/flock,permissive,2026-03-23 08:28:17,Y,JavaScript,449
floatpane/matcha,permissive,2026-03-09 17:45:18,Y,Go,394
Floof-Station/Panta-Rhei,prohibited,2025-02-18 03:05:49,Y,C#,423
floppy/van_dam,permissive,2025-08-11 10:47:32,Y,Ruby,4541
fohrloop/wakepy,permissive,2026-02-07 13:15:54,Y,Python,386
foss42/api-dash,permissive,2026-02-02 22:52:52,Y,Dart,1117
foss42/apidash,permissive,2026-02-02 22:52:52,Y,Dart,1117
fossbilling/fossbilling,permissive,2025-11-25 00:02:21,Y,PHP,2619
foundry-rs/foundry,permissive,2025-10-06 16:56:46,Y,Rust,8208
freenet/freenet-core,permissive,2026-02-12 03:42:24,Y,Rust,3008
freenet/locutus,permissive,2026-02-12 03:42:24,Y,Rust,3008
freenet/river,permissive,2026-02-12 04:36:43,Y,Rust,112
gabboman/wafrn,prohibited,2025-04-20 19:10:34,Y,TypeScript,366
gabrieldrn/carbon-compose,permissive,2026-02-15 16:56:28,Y,Kotlin,69
getarcaneapp/arcane,permissive,2026-02-01 18:00:45,Y,Go,1410
getfloresta/Floresta,permissive,2026-02-06 00:57:05,Y,Rust,725
gethomepage/homepage,permissive,2024-04-08 15:11:55,Y,JavaScript,1670
getkyo/kyo,permissive,2025-03-25 23:09:10,Y,Scala,1235
getmaxun/maxun,permissive,2026-03-03 14:03:34,Y,TypeScript,736
ggerganov/llama.cpp,permissive,2025-11-30,Y,C++,11070
ggml-org/llama.cpp,permissive,2025-11-30,Y,C++,11070
ghostty-org/ghostty,permissive,2025-08-19,Y,Zig,4607
github/spec-kit,permissive,2025-09-21 04:34:55,Y,Python,871
gitroomhq/postiz-app,prohibited,2026-03-20 14:57:17,Y,TypeScript,623
gittuf/gittuf,permissive,2026-03-25 22:29:59,Y,Go,1071
gnolang/gno,permissive,2026-03-17 16:15:02,Y,Go,3961
go-skynet/LocalAI,permissive,2026-03-08 17:27:00,Y,Go,7666
