repo_name,L1_hit,L2_hit
apollographql/apollo-mcp-server,True,True
apple/containerization,True,True
apsinghdev/opensox,False,True
arabcoders/watchstate,True,True
arabcoders/ytptube,True,True
arhamgarg/DSA,True,False
aristocratos/btop,True,True
arpanghosh8453/garmin-grafana,True,True
ashwin-nat/pits-n-giggles,True,True
astral-sh/ruff,False,True
astral-sh/uv,False,True
astrio-ai/atlas,True,True
astrio-ai/atlas-code,True,True
astrio-ai/l2m,True,True
autobrr/netronome,True,False
automagik-dev/forge,True,True
avateam-it-systemhaus/mkdocs-kroki-plugin,True,True
aws-samples/amazon-bedrock-agents-healthcare-lifesciences,True,True
aws-samples/genai-quickstart-pocs,False,True
awslabs/aws-sdk-rust,True,True
axllent/mailpit,True,False
axolotl-ai-cloud/axolotl,False,True
azalea-rs/azalea,False,True
backstage/community-plugins,False,True
badboysm890/ClaraVerse,False,True
basicmachines-co/basic-memory,True,False
bbilly1/tubearchivist,True,False
bcollazo/deckgym-core,True,True
benchflow-ai/skillsbench,True,True
benodiwal/pg_ai_query,False,True
benrugg/ai-render,False,True
bettergovph/bettergov,True,True
beyond-all-reason/bar-lobby,True,True
beyond-all-reason/tachyon,False,True
biomejs/biome,True,True
bknd-io/bknd,True,True
blackportal-ai/delta,False,True
blobcity/autoai,True,True
block-open-source/goose,True,True
block/elasticgraph,True,True
block/goose,True,True
blueshift-gg/sbpf,True,True
bmad-code-org/BMAD-METHOD,True,True
bmadcode/BMAD-METHOD,True,True
bodo-ai/Bodo,False,True
booklore-app/BookLore,True,True
boshen/oxc,True,True
bosun-ai/swiftide,True,False
botingw/rulebook-ai,True,True
boxyhq/jackson,True,True
bpg/terraform-provider-proxmox,True,True
bpwhelan/GameSentenceMiner,True,False
brainboxdotcc/dpp,False,True
brilla-ai/brilla-ai,False,True
brokermr810/QuantDinger,True,False
browseros-ai/BrowserOS,True,False
browserstack/mcp-server,True,False
bscript/rep,False,True
bsoc-bitbyte/Nudj,True,False
bubblelabai/BubbleLab,True,True
