repo_name,conditions
tui-rs-revival/ratatui,"human_review,explicit_declaration"
tupui/soroban-versioning,follow_ai_rules
turbowarp/extensions,"explicit_declaration,human_review,limited_scope"
tuyuritio/astro-theme-thought-lite,"explicit_declaration,human_review"
UI5/linter,follow_ai_rules
UKGovernmentBEIS/inspect_evals,
unchihugo/FluentFlyout,human_review
unmojang/FjordLauncher,"human_review,explicit_declaration"
unsecretised/rustcast,human_review
uscensusbureau/us-census-bureau-data-api-mcp,"explicit_declaration,human_review"
UZDoom/UZDoom,"no_declaration,limited_scope"
valentinfrlch/ha-llmvision,
valkey-io/valkey-admin,human_review
vancluever/z2d,human_review
verl-project/verl,follow_ai_rules
veryl-lang/veryl,human_review
vicinaehq/vicinae,"human_review,explicit_declaration"
vinteumorg/Floresta,"human_review,follow_ai_rules"
viperml/nh,human_review
vitest-dev/vitest,"explicit_declaration,human_review"
volcano-sh/kthena,"explicit_declaration,human_review"
volcengine/verl,follow_ai_rules
vortex-data/vortex,"explicit_declaration,human_review"
Voyz/ibind,human_review
wakepy/wakepy,
wasted-audio/hvcc,human_review
wavetermdev/waveterm,human_review
web-infra-dev/oxc,"explicit_declaration,human_review"
wild-linker/wild,human_review
winapps-org/winapps,"explicit_declaration,human_review"
woodruffw/zizmor,follow_ai_rules
wordpress/performance,"explicit_declaration,human_review"
worldcoin/world-id-protocol,explicit_declaration
Wouter0100/homeassistant-nanokvm,human_review
xenitab/spegel,"explicit_declaration,human_review"
xmtp/libxmtp,"human_review,explicit_declaration"
xmtp/xmtp-android,"human_review,explicit_declaration"
xmtp/xmtp-ios,"human_review,explicit_declaration"
xmtp/xmtp-js,"human_review,explicit_declaration"
xmtp/xmtp-react-native,"human_review,explicit_declaration"
xpzouying/xiaohongshu-mcp,human_review
YaLTeR/niri,human_review
yamada-ui/yamada-ui,"explicit_declaration,human_review"
zama-ai/tfhe-rs,"explicit_declaration,human_review"
zauberzeug/nicegui,human_review
zed-industries/zed,human_review
zentinelproxy/zentinel,human_review
zizmorcore/zizmor,follow_ai_rules
zjs81/meshcore-open,human_review
zokugun/vscode-sync-settings,"explicit_declaration,human_review"
zxh326/kite,human_review
