repo_name,bin,prs_closed_in_bin,prohibited,time,intervention,time_after,language,stars,contributors,commits,repo_age_days,log_stars,log_contributors,log_commits,log_repo_age_days,log_prs_closed_in_bin
konflux-ci/build-definitions,-2,121,0,5,0,0,Shell,33,154,4157,1528,3.5263605246161616,5.043425116919247,8.332789468417959,7.332369205929062,4.804021044733257
konflux-ci/build-definitions,-1,85,0,6,0,0,Shell,33,154,4157,1528,3.5263605246161616,5.043425116919247,8.332789468417959,7.332369205929062,4.454347296253507
konflux-ci/build-definitions,1,92,0,8,1,1,Shell,33,154,4157,1528,3.5263605246161616,5.043425116919247,8.332789468417959,7.332369205929062,4.532599493153256
konflux-ci/build-definitions,2,54,0,9,1,2,Shell,33,154,4157,1528,3.5263605246161616,5.043425116919247,8.332789468417959,7.332369205929062,4.007333185232471
konflux-ci/build-definitions,3,93,0,10,1,3,Shell,33,154,4157,1528,3.5263605246161616,5.043425116919247,8.332789468417959,7.332369205929062,4.543294782270004
konflux-ci/build-definitions,4,100,0,11,1,4,Shell,33,154,4157,1528,3.5263605246161616,5.043425116919247,8.332789468417959,7.332369205929062,4.61512051684126
konflux-ci/build-definitions,5,90,0,12,1,5,Shell,33,154,4157,1528,3.5263605246161616,5.043425116919247,8.332789468417959,7.332369205929062,4.51085950651685
konflux-ci/build-definitions,6,62,0,13,1,6,Shell,33,154,4157,1528,3.5263605246161616,5.043425116919247,8.332789468417959,7.332369205929062,4.143134726391533
SillyTavern/SillyTavern,-6,76,0,1,0,0,JavaScript,24480,312,11490,1056,10.10565258546514,5.746203190540153,9.349319399257634,6.963189985870238,4.343805421853684
SillyTavern/SillyTavern,-5,72,0,2,0,0,JavaScript,24480,312,11490,1056,10.10565258546514,5.746203190540153,9.349319399257634,6.963189985870238,4.290459441148391
SillyTavern/SillyTavern,-4,65,0,3,0,0,JavaScript,24480,312,11490,1056,10.10565258546514,5.746203190540153,9.349319399257634,6.963189985870238,4.189654742026425
SillyTavern/SillyTavern,-3,59,0,4,0,0,JavaScript,24480,312,11490,1056,10.10565258546514,5.746203190540153,9.349319399257634,6.963189985870238,4.0943445622221
SillyTavern/SillyTavern,-2,60,0,5,0,0,JavaScript,24480,312,11490,1056,10.10565258546514,5.746203190540153,9.349319399257634,6.963189985870238,4.110873864173311
SillyTavern/SillyTavern,-1,74,0,6,0,0,JavaScript,24480,312,11490,1056,10.10565258546514,5.746203190540153,9.349319399257634,6.963189985870238,4.31748811353631
SillyTavern/SillyTavern,1,75,0,8,1,1,JavaScript,24480,312,11490,1056,10.10565258546514,5.746203190540153,9.349319399257634,6.963189985870238,4.330733340286331
SillyTavern/SillyTavern,2,56,0,9,1,2,JavaScript,24480,312,11490,1056,10.10565258546514,5.746203190540153,9.349319399257634,6.963189985870238,4.04305126783455
SillyTavern/SillyTavern,3,72,0,10,1,3,JavaScript,24480,312,11490,1056,10.10565258546514,5.746203190540153,9.349319399257634,6.963189985870238,4.290459441148391
SillyTavern/SillyTavern,4,100,0,11,1,4,JavaScript,24480,312,11490,1056,10.10565258546514,5.746203190540153,9.349319399257634,6.963189985870238,4.61512051684126
SillyTavern/SillyTavern,5,89,0,12,1,5,JavaScript,24480,312,11490,1056,10.10565258546514,5.746203190540153,9.349319399257634,6.963189985870238,4.499809670330265
