repo_name,bin,new_prs,total_closed,review_comments_mean,close_latency_h,prohibited,language,stars,contributors,commits,repo_age_days,time,intervention,time_after,log_new_prs,log_total_closed,log_review_comments_mean,log_close_latency_h,log_stars,log_contributors,log_commits,log_repo_age_days,prs_closed_in_bin,log_prs_closed_in_bin
deltav-station/delta-v,-2,212,212,2.287735849056604,182.89959512578616,1,C#,128,402,37840,843,3,0,0,5.3612921657094255,5.3612921657094255,1.1901991360885114,5.214389930007994,4.859812404361672,5.998936561946683,10.541148449877936,6.738152494595957,256,5.54907608489522
deltav-station/delta-v,-1,214,214,3.7803738317757007,307.2598753894081,1,C#,128,402,37840,843,4,0,0,5.3706380281276624,5.3706380281276624,1.5645187509297749,5.7309431784798885,4.859812404361672,5.998936561946683,10.541148449877936,6.738152494595957,180,5.198497031265826
deltav-station/delta-v,1,197,197,6.370558375634518,279.6611646926114,1,C#,128,402,37840,843,6,1,1,5.288267030694535,5.288267030694535,1.997493466646753,5.637148122149095,4.859812404361672,5.998936561946683,10.541148449877936,6.738152494595957,168,5.1298987149230735
deltav-station/delta-v,2,200,200,2.93,331.6961194444445,1,C#,128,402,37840,843,7,1,2,5.303304908059076,5.303304908059076,1.3686394258811698,5.807229519128469,4.859812404361672,5.998936561946683,10.541148449877936,6.738152494595957,200,5.303304908059076
deltav-station/delta-v,3,195,195,2.964102564102564,389.4730569800569,1,C#,128,402,37840,843,8,1,3,5.278114659230517,5.278114659230517,1.3772794900236751,5.967358970689551,4.859812404361672,5.998936561946683,10.541148449877936,6.738152494595957,131,4.882801922586371
deltav-station/delta-v,4,117,117,1.623931623931624,295.4463793922127,1,C#,128,402,37840,843,9,1,4,4.770684624465665,4.770684624465665,0.9646738127894412,5.691866356863118,4.859812404361672,5.998936561946683,10.541148449877936,6.738152494595957,93,4.543294782270004
TheNickOfTime/handbrake-web,-4,3,3,0.0,167.52814814814815,0,TypeScript,698,3,383,589,1,0,0,1.3862943611198906,1.3862943611198906,0.0,5.127102787165219,6.54965074223381,1.3862943611198906,5.950642552587727,6.380122536899765,4,1.6094379124341003
TheNickOfTime/handbrake-web,-3,19,19,0.0,162.69836257309942,0,TypeScript,698,3,383,589,2,0,0,2.995732273553991,2.995732273553991,0.0,5.09802548171924,6.54965074223381,1.3862943611198906,5.950642552587727,6.380122536899765,19,2.995732273553991
TheNickOfTime/handbrake-web,-2,5,5,0.0,393.9851111111111,0,TypeScript,698,3,383,589,3,0,0,1.791759469228055,1.791759469228055,0.0,5.978848070801116,6.54965074223381,1.3862943611198906,5.950642552587727,6.380122536899765,4,1.6094379124341003
TheNickOfTime/handbrake-web,-1,33,33,0.0303030303030303,109.30743265993266,0,TypeScript,698,3,383,589,4,0,0,3.5263605246161616,3.5263605246161616,0.0298529631496811,4.703271309845276,6.54965074223381,1.3862943611198906,5.950642552587727,6.380122536899765,74,4.31748811353631
